StartInd	EndInd	SleepStage	PSAInfoFileName	RunNb
196832	504032	N1	EEG_3/PSAandOthers_196832_504032.csv	0
504032	811232	N1	EEG_3/PSAandOthers_504032_811232.csv	0
812503	1119703	N2	EEG_3/PSAandOthers_812503_1119703.csv	0
1119703	1426903	N2	EEG_3/PSAandOthers_1119703_1426903.csv	0
1426903	1734103	N2	EEG_3/PSAandOthers_1426903_1734103.csv	0
1923400	2230600	N3	EEG_3/PSAandOthers_1923400_2230600.csv	1
2230600	2537800	N3	EEG_3/PSAandOthers_2230600_2537800.csv	2
2537800	2845000	N3	EEG_3/PSAandOthers_2537800_2845000.csv	3
2845000	3152200	N3	EEG_3/PSAandOthers_2845000_3152200.csv	4
3152200	3459400	N3	EEG_3/PSAandOthers_3152200_3459400.csv	5
3659560	3966760	N2	EEG_3/PSAandOthers_3659560_3966760.csv	0
3966760	4273960	N2	EEG_3/PSAandOthers_3966760_4273960.csv	0
4273960	4581160	N2	EEG_3/PSAandOthers_4273960_4581160.csv	0
4581160	4888360	N2	EEG_3/PSAandOthers_4581160_4888360.csv	0
4888360	5195560	N2	EEG_3/PSAandOthers_4888360_5195560.csv	0
5195560	5502760	N2	EEG_3/PSAandOthers_5195560_5502760.csv	0
5502760	5809960	N2	EEG_3/PSAandOthers_5502760_5809960.csv	0
5841478	6148678	N1	EEG_3/PSAandOthers_5841478_6148678.csv	0
6148678	6455878	N1	EEG_3/PSAandOthers_6148678_6455878.csv	0
6455878	6763078	N1	EEG_3/PSAandOthers_6455878_6763078.csv	0
6841058	7148258	N2	EEG_3/PSAandOthers_6841058_7148258.csv	0
7221898	7529098	N3	EEG_3/PSAandOthers_7221898_7529098.csv	6
7529098	7836298	N3	EEG_3/PSAandOthers_7529098_7836298.csv	7
7836298	8143498	N3	EEG_3/PSAandOthers_7836298_8143498.csv	8
8143498	8450698	N3	EEG_3/PSAandOthers_8143498_8450698.csv	9
8450698	8757898	N3	EEG_3/PSAandOthers_8450698_8757898.csv	10
8757898	9065098	N3	EEG_3/PSAandOthers_8757898_9065098.csv	11
9065098	9372298	N3	EEG_3/PSAandOthers_9065098_9372298.csv	12
9372298	9679498	N3	EEG_3/PSAandOthers_9372298_9679498.csv	13
9679498	9986698	N3	EEG_3/PSAandOthers_9679498_9986698.csv	14
9986698	10293898	N3	EEG_3/PSAandOthers_9986698_10293898.csv	15
10293898	10601098	N3	EEG_3/PSAandOthers_10293898_10601098.csv	16
10601098	10908298	N3	EEG_3/PSAandOthers_10601098_10908298.csv	17
